Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
1/7/2025 0:00,N8184G,Replacement,Instrument Filter,Parts Instrument filter
1/7/2025 0:00,N8184G,Replacement,Air Filter,Parts Air filter
1/7/2025 0:00,N8184G,Replacement,Brake Lining,Parts Brake lining pad
1/7/2025 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
1/7/2025 0:00,N8184G,Replacement,Oil Filter,Parts Tempest 103 oil filter
1/7/2025 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
1/17/2025 0:00,N9863L,Replacement,Flap Component,Flap track brackets
1/17/2025 0:00,N9863L,Replacement,Flap Component,Right wing inboard flap track rib
1/17/2025 0:00,N9863L,Replacement,Wing Component,Lower trailing edge wing skin
1/17/2025 0:00,N9863L,Replacement,Primer,Zinc phosphate primer
1/17/2025 0:00,N433SP,Replacement,Inner Tube,Leakguard inner tube
1/17/2025 0:00,N433SP,Replacement,Miscellaneous,Miscellaneous hardware
1/17/2025 0:00,N433SP,Service,Oil Analysis Kit,Metal check oil analysis kit
1/17/2025 0:00,N433SP,Replacement,Brake Lining,Cleveland brake lining pads
1/17/2025 0:00,N433SP,Replacement,Bulb,Bulb
1/17/2025 0:00,N433SP,Replacement,_UNMAPPED_,Static wick
1/17/2025 0:00,N433SP,Replacement,PTT Switch,PTT Switch
1/17/2025 0:00,N433SP,Replacement,Instrument Filter,Instrument filter
1/17/2025 0:00,N433SP,Replacement,Oil Filter,Tempest oil filter
1/17/2025 0:00,N433SP,Replacement,Oil,Phillips 20W-50 oil
